Nr,request,deviation_count,uri,1xx,2xx,3xx,4xx,5xx,9xx
0,"GET https://>>SUDBDOMAIN_PLACEHOLDER<<.>>DOMAIN_PLACEHOLDER<</ HTTP/1.1
Host: >>HOST_PLACEHOLDER<<
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
 
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8  
 
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive
 
 
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
 
  		 	
 	
  
Sec-Fetch-Site: cross-site

",17,https://>>SUDBDOMAIN_PLACEHOLDER<<.>>DOMAIN_PLACEHOLDER<</,0,10,2,8,0,0
1,"GET https://>>SUDBDOMAIN_PLACEHOLDER<<.>>DOMAIN_PLACEHOLDER<</ HTTP/1.1
Host: >>HOST_PLACEHOLDER<<
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
 	 	  
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br		 
 	 
 	
 
Accept-Language: en-US,en;q=0.5		
DNT: 1
Connection: keep-alive
 	
  
 	 
    
 
 
  	
 	
Upgrade-Insecure-Requests: 1
 
Sec-Fetch-Dest: document 
Sec-Fetch-Mode: navigate 
 
 
Sec-Fetch-Site: cross-site		
  	

",45,https://>>SUDBDOMAIN_PLACEHOLDER<<.>>DOMAIN_PLACEHOLDER<</,0,10,2,8,0,0
2,"GET https://>>SUDBDOMAIN_PLACEHOLDER<<.>>DOMAIN_PLACEHOLDER<</ HTTP/1.1
Host: >>HOST_PLACEHOLDER<<
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8	  
 
 
Accept-Encoding: gzip, deflate, br 	
Accept-Language: en-US,en;q=0.5
DNT: 1
 
Connection: keep-alive 
Upgrade-Insecure-Requests: 1	
Sec-Fetch-Dest: document
 	 	 	
 		 	 
 	
   
 
 
Sec-Fetch-Mode: navigate
   		
  
Sec-Fetch-Site: cross-site 
 	 	 	
  

",45,https://>>SUDBDOMAIN_PLACEHOLDER<<.>>DOMAIN_PLACEHOLDER<</,0,10,2,8,0,0
3,"GET https://>>SUDBDOMAIN_PLACEHOLDER<<.>>DOMAIN_PLACEHOLDER<</ HTTP/1.1
Host: >>HOST_PLACEHOLDER<<
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
 
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8 	
Accept-Encoding: gzip, deflate, br
 		
 
  
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive 
  
 	 
 
 
  
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate 
 
Sec-Fetch-Site: cross-site

",21,https://>>SUDBDOMAIN_PLACEHOLDER<<.>>DOMAIN_PLACEHOLDER<</,0,10,2,8,0,0
4,"GET https://>>SUDBDOMAIN_PLACEHOLDER<<.>>DOMAIN_PLACEHOLDER<</ HTTP/1.1
Host: >>HOST_PLACEHOLDER<<
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
 
 		
 			
 
 
 		  
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8			 
  
Accept-Encoding: gzip, deflate, br
 
  	 
  		
   
 
  		 
 
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive     
  
 
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document	
  
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site   

",54,https://>>SUDBDOMAIN_PLACEHOLDER<<.>>DOMAIN_PLACEHOLDER<</,0,10,2,8,0,0
5,"GET https://>>SUDBDOMAIN_PLACEHOLDER<<.>>DOMAIN_PLACEHOLDER<</ HTTP/1.1
Host: >>HOST_PLACEHOLDER<<
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
 
 
  	
 
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8	
 
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1  
Connection: keep-alive
Upgrade-Insecure-Requests: 1 	 		
 
Sec-Fetch-Dest: document
 	 
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site	
 
 		
 

",25,https://>>SUDBDOMAIN_PLACEHOLDER<<.>>DOMAIN_PLACEHOLDER<</,0,10,2,8,0,0
6,"GET https://>>SUDBDOMAIN_PLACEHOLDER<<.>>DOMAIN_PLACEHOLDER<</ HTTP/1.1
Host: >>HOST_PLACEHOLDER<< 	
 
 	
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
 
 		 
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br 	 	
 
 
Accept-Language: en-US,en;q=0.5
DNT: 1	 		 
Connection: keep-alive 		
 
Upgrade-Insecure-Requests: 1
 
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site

",26,https://>>SUDBDOMAIN_PLACEHOLDER<<.>>DOMAIN_PLACEHOLDER<</,0,9,1,10,0,0
7,"GET https://>>SUDBDOMAIN_PLACEHOLDER<<.>>DOMAIN_PLACEHOLDER<</ HTTP/1.1
Host: >>HOST_PLACEHOLDER<<
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0 
 
 
 		
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate, br		 
Accept-Language: en-US,en;q=0.5
DNT: 1	 
Connection: keep-alive
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document	
 
Sec-Fetch-Mode: navigate	 
 
  
 
Sec-Fetch-Site: cross-site

",19,https://>>SUDBDOMAIN_PLACEHOLDER<<.>>DOMAIN_PLACEHOLDER<</,0,10,2,8,0,0
8,"GET https://>>SUDBDOMAIN_PLACEHOLDER<<.>>DOMAIN_PLACEHOLDER<</ HTTP/1.1
Host: >>HOST_PLACEHOLDER<<
 
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0 
 	 	 		
 
  
  	
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
 
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5
DNT: 1
  
 
 
Connection: keep-alive
Upgrade-Insecure-Requests: 1
 
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
Sec-Fetch-Site: cross-site	

",22,https://>>SUDBDOMAIN_PLACEHOLDER<<.>>DOMAIN_PLACEHOLDER<</,0,10,2,8,0,0
9,"GET https://>>SUDBDOMAIN_PLACEHOLDER<<.>>DOMAIN_PLACEHOLDER<</ HTTP/1.1
Host: >>HOST_PLACEHOLDER<<		 
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0   
 
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
 	 
Accept-Encoding: gzip, deflate, br
Accept-Language: en-US,en;q=0.5	
 
DNT: 1 
 	
Connection: keep-alive			
 
Upgrade-Insecure-Requests: 1
Sec-Fetch-Dest: document
Sec-Fetch-Mode: navigate
 
Sec-Fetch-Site: cross-site 
 

",22,https://>>SUDBDOMAIN_PLACEHOLDER<<.>>DOMAIN_PLACEHOLDER<</,0,9,1,10,0,0
