Nr,request,deviation_count,uri,1xx,2xx,3xx,4xx,5xx,9xx
0,"GET /index.html# HTTP/1.1
Host: >>HOST_PLACEHOLDER<<
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive

",1,/index.html#,0,1,43,27,0,0
1,"GET /support#VNt HTTP/1.1
Host: >>HOST_PLACEHOLDER<<
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive

",1,/support#VNt,0,0,43,27,0,0
2,"GET /services#e HTTP/1.1
Host: >>HOST_PLACEHOLDER<<
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive

",1,/services#e,0,0,42,29,0,0
3,"GET /index.html#2rgX HTTP/1.1
Host: >>HOST_PLACEHOLDER<<
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive

",1,/index.html#2rgX,0,1,43,27,0,0
4,"GET /favicon.ico#oc7 HTTP/1.1
Host: >>HOST_PLACEHOLDER<<
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive

",1,/favicon.ico#oc7,0,7,40,24,0,0
5,"GET /services#f81L HTTP/1.1
Host: >>HOST_PLACEHOLDER<<
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive

",1,/services#f81L,0,0,42,29,0,0
6,"GET /support#W HTTP/1.1
Host: >>HOST_PLACEHOLDER<<
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive

",1,/support#W,0,0,43,28,0,0
7,"GET /about#j HTTP/1.1
Host: >>HOST_PLACEHOLDER<<
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive

",1,/about#j,0,0,43,28,0,0
8,"GET /index.php#eG2b HTTP/1.1
Host: >>HOST_PLACEHOLDER<<
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive

",1,/index.php#eG2b,0,0,39,31,0,0
9,"GET /favicon.ico#LN HTTP/1.1
Host: >>HOST_PLACEHOLDER<<
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive

",1,/favicon.ico#LN,0,7,40,24,0,0
