Host,IP,IPv4,TLS,HTTP/2,Messages Send,1xx,2xx,3xx,4xx,5xx,9xx,Avg Response Time,StdD Response Time,Avg Deviation Count,StdD Deviation Count,Avg Request Length,StdD Request Length,Avg URI Length,StdD URI Length,Avg Response Header Keys,StdD Response Header Keys,Avg Response Body Length,StdD Response Body Length,CHI2 Test Deviation-Statuscode,CHI2 Test p
www.ui.com,18.155.153.28,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.05328922271728516,0.032145519820219,0.0,0.0,424.0,0.0,1.0,0.0,18.0,0.0,9951.0,0.0,0.0,1.0
api.whatsapp.com,157.240.210.60,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.17259652614593507,0.016927858637533637,0.0,0.0,430.0,0.0,1.0,0.0,20.0,0.0,5.9,0.3,0.0,1.0
www.criteo.com,52.222.139.61,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.06744065284729003,0.03954046204993761,0.0,0.0,428.0,0.0,1.0,0.0,21.0,0.0,3301.1,5745.90696844284,0.0,1.0
www.adobe.com,2.23.176.4,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.1308138132095337,0.05226396979075247,0.0,0.0,427.0,0.0,1.0,0.0,22.0,0.0,13261.6,30.803246582138062,0.0,1.0
www.apache.org,151.101.2.132,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.03507497310638428,0.012537058365038548,0.0,0.0,428.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0
www.apple.com,2.16.252.237,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.06378436088562012,0.016661151643568812,0.0,0.0,427.0,0.0,1.0,0.0,17.0,0.0,14264.0,0.0,0.0,1.0
www.instagram.com,157.240.210.174,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.06844398975372315,0.015327399615742992,0.0,0.0,431.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0
www.icloud.com,104.101.246.175,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.05843770503997803,0.03400278081839122,0.0,0.0,428.0,0.0,1.0,0.0,21.0,0.0,13952.0,0.0,0.0,1.0
www.office.com,13.107.6.156,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.05006861686706543,0.011726886536393815,0.0,0.0,428.0,0.0,1.0,0.0,20.0,0.0,10.0,0.0,0.0,1.0
www.amazon.com,54.192.210.111,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.3164980411529541,0.11476854782276018,0.0,0.0,428.0,0.0,1.0,0.0,27.0,0.0,895.1,1672.2022874042484,0.0,1.0
www.wikipedia.org,185.15.59.224,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.0975449562072754,0.07206493481770758,0.0,0.0,431.0,0.0,1.0,0.0,19.0,0.0,13020.0,0.0,0.0,1.0
www.bing.com,2.16.204.161,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.08197956085205078,0.029513156363605936,0.0,0.0,426.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0
www.google.com,142.251.209.132,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.12130579948425294,0.02461550639616952,0.0,0.0,428.0,0.0,1.0,0.0,16.1,0.2999999999999999,0.0,0.0,0.0,1.0
www.facebook.com,157.240.210.35,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.14980475902557372,0.07527198054124039,0.0,0.0,430.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0
www.youtube.com,142.251.209.142,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.08510279655456543,0.014346365012346715,0.0,0.0,429.0,0.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0
www.pinterest.com,2.16.192.196,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.29079034328460696,0.09489878814820014,0.0,0.0,431.0,0.0,1.0,0.0,29.0,0.0,0.0,0.0,0.0,1.0
www.cloudflare.com,104.16.124.96,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.09559326171875,0.025967297183512993,0.0,0.0,432.0,0.0,1.0,0.0,20.0,0.0,25.7,36.2133953116799,0.0,1.0
www.digicert.com,45.60.123.229,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.5046342134475708,0.1919344887273269,0.0,0.0,430.0,0.0,1.0,0.0,17.0,0.0,319.5,6.18465843842649,0.0,1.0
www.snapchat.com,34.149.46.130,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.19018073081970216,0.03182830758558188,0.0,0.0,430.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0
www.qq.com,104.101.253.247,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.1248621940612793,0.07332629383420067,0.0,0.0,424.0,0.0,1.0,0.0,13.0,0.0,15072.0,0.0,0.0,1.0
policies.google.com,142.250.181.206,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.09117090702056885,0.01892263579985856,0.0,0.0,433.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0
www.tumblr.com,192.0.77.40,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.07208921909332275,0.07148811606109082,0.0,0.0,428.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0
www.roblox.com,128.116.121.4,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.2619343280792236,0.05274268667801169,0.0,0.0,428.0,0.0,1.0,0.0,16.0,0.0,13083.3,68.84627804028332,0.0,1.0
teams.microsoft.com,52.123.129.14,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.1003002405166626,0.030381314170798937,0.0,0.0,433.0,0.0,1.0,0.0,24.0,0.0,1312.8,677.0621537200259,0.0,1.0
www.nytimes.com,151.101.37.164,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.06286461353302002,0.025830283388351066,0.0,0.0,429.0,0.0,1.0,0.0,29.0,0.0,0.0,0.0,0.0,1.0
support.google.com,142.251.209.142,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.21116359233856202,0.03259547202479653,0.0,0.0,432.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0
www.forbes.com,151.101.37.55,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.05767159461975098,0.02752491683701608,0.0,0.0,428.0,0.0,1.0,0.0,36.0,0.0,0.0,0.0,0.0,1.0
www.w3.org,104.18.23.19,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.05207192897796631,0.00994391388357019,0.0,0.0,424.0,0.0,1.0,0.0,20.0,0.0,265.9,0.3,0.0,1.0
www.example.com,93.184.216.34,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.12163779735565186,0.022038536274698615,0.0,0.0,429.0,0.0,1.0,0.0,12.6,0.4898979485566356,0.0,0.0,0.0,1.0
www.amazontrust.com,54.230.206.10,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.03037388324737549,0.01481082628787766,0.0,0.0,433.0,0.0,1.0,0.0,14.0,0.0,1789.2,596.4,0.0,1.0
www.flickr.com,54.230.181.134,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.22806148529052733,0.08189634537238998,0.0,0.0,428.0,0.0,1.0,0.0,17.0,0.0,14568.5,25.346597404779995,0.0,1.0
www.whatsapp.com,157.240.210.60,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.35849289894104003,0.055559756389874676,0.0,0.0,430.0,0.0,1.0,0.0,20.0,0.0,6.0,0.0,0.0,1.0
www.ntp.org,204.93.207.22,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.18168702125549316,0.05636087298053201,0.0,0.0,425.0,0.0,1.0,0.0,8.0,0.0,3449.4,2657.2945715520514,0.0,1.0
www.taboola.com,199.232.149.44,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.03845148086547852,0.015991654259669075,0.0,0.0,429.0,0.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,1.0
open.spotify.com,35.186.224.25,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.06368491649627686,0.008530582976747457,0.0,0.0,430.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0
www.ncbi.nlm.nih.gov,130.14.29.110,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.16783540248870848,0.03177945616894693,0.0,0.0,434.0,0.0,1.0,0.0,17.0,0.0,7265.0,0.0,0.0,1.0
www.opera.com,3.124.179.50,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.1253368377685547,0.05250385900878756,0.0,0.0,427.0,0.0,1.0,0.0,14.0,0.0,14985.6,10.799999999999995,0.0,1.0
www.applovin.com,141.193.213.20,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.2587857484817505,0.1261895721471671,0.0,0.0,430.0,0.0,1.0,0.0,18.0,0.0,489.8,26.16027522790997,0.0,1.0
login.live.com,20.190.159.75,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.17955026626586915,0.03100136061231469,0.0,0.0,428.0,0.0,1.0,0.0,19.0,0.0,25598.6,32.55518391900129,0.0,1.0
www.bbc.com,151.101.36.81,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.07434337139129639,0.07248999019758513,0.0,0.0,425.0,0.0,1.0,0.0,32.0,0.0,0.0,0.0,0.0,1.0
www.twitch.tv,199.232.150.167,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.05299179553985596,0.012708345270774796,0.0,0.0,427.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0
www.mit.edu,104.102.9.251,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.10043065547943116,0.03701775236278222,0.0,0.0,425.0,0.0,1.0,0.0,13.0,0.0,46733.0,0.0,0.0,1.0
www.appsflyer.com,2.23.176.25,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.15295493602752686,0.04215462745593949,0.0,0.0,431.0,0.0,1.0,0.0,10.0,0.0,15235.0,0.0,0.0,1.0
x1.c.lencr.org,184.51.73.230,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.03086700439453125,0.007552374291901895,0.0,0.0,428.0,0.0,1.0,0.0,17.0,0.0,695.0,0.0,0.0,1.0
www.wikimedia.org,185.15.59.224,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.06525921821594238,0.024589807147342276,0.0,0.0,431.0,0.0,1.0,0.0,19.0,0.0,18812.0,0.0,0.0,1.0
www.harvard.edu,151.101.38.133,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.05709261894226074,0.0426363470030801,0.0,0.0,429.0,0.0,1.0,0.0,25.0,0.0,0.0,0.0,0.0,1.0
www.ebay.com,2.16.193.24,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.3293825387954712,0.031247027087526105,0.0,0.0,426.0,0.0,1.0,0.0,16.2,0.9797958971132712,458.4,212.69706156879553,0.0,1.0
www.scorecardresearch.com,165.193.78.252,True,True,False,10,0.0,100.0,0.0,0.0,0.0,0.0,0.2602831363677979,0.02209243262040892,0.0,0.0,439.0,0.0,1.0,0.0,9.0,0.0,16070.1,0.3,0.0,1.0
